"UF da residência";"2023";"2024";"2025";" Total"
"11 Rondônia";"356";"416";"349";"1121"
"12 Acre";"75";"54";"37";"166"
"13 Amazonas";"234";"221";"87";"542"
"14 Roraima";"45";"44";"28";"117"
"15 Pará";"496";"420";"289";"1205"
"16 Amapá";"47";"61";"70";"178"
"17 Tocantins";"125";"116";"73";"314"
"21 Maranhão";"510";"503";"362";"1375"
"22 Piauí";"408";"399";"269";"1076"
"23 Ceará";"1068";"1029";"545";"2642"
"24 Rio Grande do Norte";"601";"661";"517";"1779"
"25 Paraíba";"622";"643";"399";"1664"
"26 Pernambuco";"1228";"966";"548";"2742"
"27 Alagoas";"237";"249";"189";"675"
"28 Sergipe";"273";"271";"135";"679"
"29 Bahia";"1560";"1269";"736";"3565"
"31 Minas Gerais";"5840";"4627";"3068";"13535"
"32 Espírito Santo";"885";"977";"643";"2505"
"33 Rio de Janeiro";"2890";"3063";"1832";"7785"
"35 São Paulo";"10803";"10695";"7018";"28516"
"41 Paraná";"3902";"3171";"2040";"9113"
"42 Santa Catarina";"2442";"2853";"1732";"7027"
"43 Rio Grande do Sul";"5424";"4394";"2385";"12203"
"50 Mato Grosso do Sul";"746";"659";"362";"1767"
"51 Mato Grosso";"606";"749";"484";"1839"
"52 Goiás";"1187";"1073";"643";"2903"
"53 Distrito Federal";"448";"375";"303";"1126"
"Total";"43058";"39958";"25143";"108159"
